name,number_of_seasons,vote_count,vote_average,popularity,network1,first_air_date,last_air_date,status,renewed,show_duration
Barry,4,700,7.933,32.021,HBO,2018-03-25,2023-05-28,Ended,FALSE,1890
Wayward Pines,2,700,6.832,21.008,FOX,2015-05-14,2016-07-27,Canceled,FALSE,440
Ballers,5,699,6.7,119.436,HBO,2015-06-21,2019-10-13,Ended,FALSE,1575
Maniac,1,698,7.405,14.196,Netflix,2018-09-21,2018-09-21,Ended,FALSE,0
Empire,6,697,7.184,52.076,FOX,2015-01-07,2020-04-21,Ended,FALSE,1931
Glee,6,696,6.713,47.748,FOX,2009-05-19,2015-03-20,Ended,FALSE,2131
Deadwood,3,694,8.109,84.017,HBO,2004-03-21,2006-08-27,Canceled,FALSE,889
When They See Us,1,693,8.23,21.45,Netflix,2019-05-31,2019-05-31,Ended,FALSE,0
The O.C.,4,692,7.814,314.852,FOX,2003-08-05,2007-02-22,Ended,FALSE,1297
Sharp Objects,1,691,7.747,15.912,HBO,2018-07-08,2018-08-26,Ended,FALSE,49
Terra Nova,1,687,6.764,16.963,FOX,2011-09-26,2011-12-19,Canceled,FALSE,84
How to Sell Drugs Online (Fast),3,685,8.062,19.746,Netflix,2019-05-31,2021-07-27,Returning Series,TRUE,788
The Croods: Family Tree,7,681,7.236,27.055,Hulu,2021-09-23,2023-07-27,Returning Series,TRUE,672
She-Ra and the Princesses of Power,5,679,8.562,51.462,Netflix,2018-11-13,2020-05-15,Ended,FALSE,549
Revenge,4,678,7.6,34.366,ABC,2011-09-21,2015-05-10,Canceled,FALSE,1327
The D'Amelio Show,3,672,4.965,26.772,Hulu,2021-09-03,2023-09-27,Returning Series,TRUE,754
The Terminal List,1,671,8.2,36.502,Prime Video,2022-06-30,2022-06-30,Returning Series,TRUE,0
Vikings: Valhalla,2,671,7.851,59.232,Netflix,2022-02-25,2023-01-12,Returning Series,TRUE,321
Power Rangers,30,670,6.996,33.983,ABC,1993-08-28,2023-09-29,Ended,FALSE,10989
High-Rise Invasion,1,668,8.371,25.928,Netflix,2021-02-25,2021-02-25,Ended,FALSE,0
After Life,3,666,7.893,25.455,Netflix,2019-03-08,2022-01-14,Ended,FALSE,1043
Midnight Mass,1,664,7.525,21.999,Netflix,2021-09-24,2021-09-24,Ended,FALSE,0
Russian Doll,2,659,7.432,17.68,Netflix,2019-02-01,2022-04-20,Returning Series,TRUE,1174
ONE PIECE,1,655,8.25,452.425,Netflix,2023-08-31,2023-08-31,Returning Series,TRUE,0
The Killing,4,648,7.873,48.661,AMC,2011-04-03,2014-08-01,Ended,FALSE,1216
S.O.Z: Soldiers or Zombies,1,646,7.176,23.842,Prime Video,2021-08-06,2021-08-06,Ended,FALSE,0
"Beverly Hills, 90210",10,646,7.431,407.207,FOX,1990-10-04,2000-05-17,Ended,FALSE,3513
"Scooby-Doo, Where Are You!",3,643,7.854,46.584,ABC,1969-09-13,1978-12-23,Ended,FALSE,3388
Inside Job,1,643,8.185,83.77,Netflix,2021-10-22,2022-11-18,Canceled,FALSE,392
The Marvelous Mrs. Maisel,5,639,8.1,33.129,Prime Video,2017-03-16,2023-05-25,Ended,FALSE,2261
Lethal Weapon,3,638,7.299,99.742,FOX,2016-09-21,2019-02-26,Canceled,FALSE,888
The Exorcist,2,637,7.3,30.178,FOX,2016-09-23,2017-12-15,Canceled,FALSE,448
"Maradona, Blessed Dream",1,637,7.477,16.059,Prime Video,2021-10-29,2021-11-26,Ended,FALSE,28
Teenage Mutant Ninja Turtles,10,635,7.574,330.528,CBS,1987-12-14,1996-11-02,Ended,FALSE,3246
Marvel Studios Legends,2,631,7.425,143.081,Disney+,2021-01-08,2023-09-29,Returning Series,TRUE,994
Bewitched,8,624,7.9,84.394,ABC,1964-09-17,1972-03-25,Ended,FALSE,2746
Guillermo del Toro's Cabinet of Curiosities,1,624,7.651,45.348,Netflix,2022-10-25,2022-10-28,Ended,FALSE,3
Curb Your Enthusiasm,11,622,8.056,210.428,HBO,2000-10-15,2021-12-26,Returning Series,TRUE,7742
Oz,6,621,8.064,29.368,HBO,1997-07-12,2003-02-23,Ended,FALSE,2052
On My Block,4,618,8.461,16.979,Netflix,2018-03-16,2021-10-04,Ended,FALSE,1298
Jupiter's Legacy,1,617,7.097,21.219,Netflix,2021-05-07,2021-05-07,Canceled,FALSE,0
Pandemic: How to Prevent an Outbreak,1,616,6.919,9.347,Netflix,2020-01-22,2020-01-22,Ended,FALSE,0
Into the Badlands,3,616,7.59,40.385,AMC,2015-11-15,2019-05-06,Canceled,FALSE,1268
Extracurricular,1,612,8.185,16.967,Netflix,2020-04-29,2020-04-29,Ended,FALSE,0
Marvel's Inhumans,1,612,6.015,22.954,ABC,2017-09-29,2017-11-10,Canceled,FALSE,42
The Undoing,1,611,7.473,16.574,HBO,2020-10-25,2020-11-29,Ended,FALSE,35
Santa Clarita Diet,3,611,7.458,27.258,Netflix,2017-02-03,2019-03-29,Canceled,FALSE,784
SAINT SEIYA: Knights of the Zodiac,2,611,7.4,38.04,Netflix,2019-07-19,2022-10-09,Returning Series,TRUE,1178
CSI: NY,9,609,7.383,79.116,CBS,2004-09-22,2013-02-22,Canceled,FALSE,3075
The Grand Tour,5,608,7.91,32.13,Prime Video,2016-11-17,2023-06-16,Returning Series,TRUE,2402
Money Heist: Korea - Joint Economic Area,1,601,7.9,46.292,Netflix,2022-06-24,2022-12-09,Returning Series,TRUE,168
The Nevers,1,594,8.139,16.732,HBO,2021-04-11,2021-05-16,Canceled,FALSE,35
La Jauría,2,593,7.315,17.49,Prime Video,2020-07-10,2022-04-22,Returning Series,TRUE,651
The Great Heist,1,593,7.269,9.143,Netflix,2020-08-14,2020-08-14,Ended,FALSE,0
Lovecraft Country,1,592,7.242,16.824,HBO,2020-08-16,2020-10-18,Canceled,FALSE,63
Quantico,3,586,6.551,29.217,ABC,2015-09-27,2018-08-03,Canceled,FALSE,1041
The White Lotus,2,583,7.642,49.994,HBO,2021-07-11,2022-12-11,Returning Series,TRUE,518
Last Week Tonight with John Oliver,10,582,7.9,974.817,HBO,2014-04-27,2023-10-01,Returning Series,TRUE,3444
The Middle,9,573,7.555,66.687,ABC,2009-09-30,2018-05-22,Ended,FALSE,3156
Columbo,10,570,8.048,188.788,ABC,1971-09-15,2003-01-30,Ended,FALSE,11460
The Witcher: Blood Origin,1,569,6.828,44.006,Netflix,2022-12-25,2022-12-25,Ended,FALSE,0
The Bear,2,565,8.27,94.788,Hulu,2022-06-23,2023-06-22,Returning Series,TRUE,364
M*A*S*H,11,560,7.933,370.645,CBS,1972-09-17,1983-02-28,Ended,FALSE,3816
Maid,1,558,7.996,24.969,Netflix,2021-10-01,2021-10-01,Ended,FALSE,0
Alias,5,554,6.708,8.683,ABC,2001-09-30,2006-05-22,Ended,FALSE,1695
Space Force,2,552,6.594,35.088,Netflix,2020-05-29,2022-02-18,Canceled,FALSE,630
Julie and the Phantoms,1,541,8.519,17.544,Netflix,2020-09-10,2020-09-10,Canceled,FALSE,0
Crash Landing on You,1,541,8.607,46.808,Netflix,2019-12-14,2020-02-16,Ended,FALSE,64
The King of Queens,9,536,7.068,369.973,CBS,1998-09-21,2007-05-14,Ended,FALSE,3157
Looking for Alaska,1,534,7.9,65.843,Hulu,2019-10-19,2019-10-19,Ended,FALSE,0
Home Improvement,8,534,7.434,55.228,ABC,1991-09-17,1999-05-25,Ended,FALSE,2807
Unorthodox,1,532,7.851,11.637,Netflix,2020-03-26,2020-03-26,Ended,FALSE,0
The Silent Sea,1,527,7.8,25.069,Netflix,2021-12-24,2021-12-24,Ended,FALSE,0
Barbarians,2,527,7.385,25.12,Netflix,2020-10-23,2022-10-21,Returning Series,TRUE,728
Nicky Jam: El Ganador,1,522,7.3,10.518,Netflix,2018-11-30,2018-11-30,Ended,FALSE,0
My First First Love,2,521,8.3,22.753,Netflix,2019-04-18,2019-07-26,Ended,FALSE,99
The Dragon Prince,5,517,8.284,39.584,Netflix,2018-09-14,2023-07-22,Returning Series,TRUE,1772
King of the Hill,13,516,7.3,200.566,FOX,1997-01-12,2009-09-13,Ended,FALSE,4627
Mom,8,514,7.3,89.321,CBS,2013-09-23,2021-05-13,Ended,FALSE,2789
The Newsroom,3,513,8.119,29.67,HBO,2012-06-24,2014-12-14,Ended,FALSE,903
Goosebumps,4,512,7.905,47.239,FOX,1995-10-27,1998-11-16,Ended,FALSE,1116
Everybody Loves Raymond,9,500,6.8,236.273,CBS,1996-09-13,2005-05-16,Ended,FALSE,3167
Lilo & Stitch: The Series,2,500,7.383,213.398,ABC,2003-09-20,2006-07-29,Ended,FALSE,1043
Zoo,3,499,6.7,39.441,CBS,2015-06-30,2017-09-21,Canceled,FALSE,814
Devilman Crybaby,1,498,7.845,21.44,Netflix,2018-01-05,2018-01-05,Ended,FALSE,0
The Langoliers,1,496,6.401,14.66,ABC,1995-05-14,1995-05-15,Ended,FALSE,1
Castle Rock,2,494,7.261,32.613,Hulu,2018-07-25,2019-12-11,Canceled,FALSE,504
Fuller House,5,493,7.515,37.516,Netflix,2016-02-26,2020-06-02,Ended,FALSE,1558
Dug Days,1,492,7.42,21.321,Disney+,2021-09-01,2021-09-01,Ended,FALSE,0
Devs,1,492,7.4,12.275,Hulu,2020-03-05,2020-04-16,Ended,FALSE,42
Unbelievable,1,490,8.041,22.296,Netflix,2019-09-13,2019-09-13,Ended,FALSE,0
Forever,1,488,7.77,24.75,ABC,2014-09-22,2015-05-05,Canceled,FALSE,225
AlRawabi School for Girls,2,488,7.482,24.54,Netflix,2021-08-12,2021-08-12,Returning Series,TRUE,0
The Good Wife,7,485,7.6,257.781,CBS,2009-09-22,2016-05-08,Ended,FALSE,2420
The Society,1,485,7.602,18.305,Netflix,2019-05-10,2019-05-10,Canceled,FALSE,0
The Summer I Turned Pretty,3,485,8.281,131.378,Prime Video,2022-06-16,2023-08-17,Returning Series,TRUE,427
Evil,4,484,7.805,56.766,CBS,2019-09-26,2022-08-14,Returning Series,TRUE,1053
The Glory,1,482,8.5,60.815,Netflix,2022-12-30,2023-03-10,Ended,FALSE,70
Hunters,2,482,7.341,25.534,Prime Video,2020-02-20,2023-01-12,Ended,FALSE,1057
Scandal,7,478,7.2,54.584,ABC,2012-04-05,2018-04-19,Ended,FALSE,2205
Dr. Horrible's Sing-Along Blog,1,476,7.558,10.5,Hulu,2008-07-15,2008-07-19,Ended,FALSE,4
Batman,3,473,7.4,63.041,ABC,1966-01-12,1968-03-14,Canceled,FALSE,792
The Walking Dead: Origins,1,468,7.801,49.443,AMC,2021-07-15,2021-08-05,Ended,FALSE,21
The Watcher,1,466,7.34,21.349,Netflix,2022-10-13,2022-10-13,Returning Series,TRUE,0
Entourage,8,462,7.317,60.58,HBO,2004-07-18,2011-09-11,Ended,FALSE,2611
Bosch,7,462,7.985,121.65,Prime Video,2015-01-14,2021-06-24,Ended,FALSE,2353
Sky Rojo,3,460,7.612,22.98,Netflix,2021-03-19,2023-01-13,Ended,FALSE,665
Unbreakable Kimmy Schmidt,4,460,7.171,38.44,Netflix,2015-03-06,2019-01-25,Ended,FALSE,1421
Black Summer,2,459,7.071,20.329,Netflix,2019-04-11,2021-06-17,Canceled,FALSE,798
The Baby-Sitters Club,2,456,8.002,15.953,Netflix,2020-07-03,2021-10-11,Canceled,FALSE,465
The Chestnut Man,1,455,7.584,15.75,Netflix,2021-09-29,2021-09-29,Ended,FALSE,0
"Walker, Texas Ranger",9,453,6.965,209.122,CBS,1993-04-21,2001-05-19,Ended,FALSE,2950
A Love So Beautiful,1,451,8.422,28.923,Netflix,2020-12-28,2021-02-20,Ended,FALSE,54
Tiny Toon Adventures,3,450,7.786,192.928,CBS,1990-09-14,1992-12-06,Ended,FALSE,814
Boy Meets World,7,450,8.336,141.102,ABC,1993-09-24,2000-05-05,Ended,FALSE,2415
Man Vs Bee,1,448,7.26,18.764,Netflix,2022-06-24,2022-06-24,Canceled,FALSE,0
Hemlock Grove,3,448,7.146,29.05,Netflix,2013-04-19,2015-10-23,Ended,FALSE,917
Almost Human,1,448,7.39,13.926,FOX,2013-11-17,2014-03-03,Canceled,FALSE,106
Virgin River,5,448,8.032,54.192,Netflix,2019-12-06,2023-09-07,Returning Series,TRUE,1371
Godless,1,447,7.724,37.014,Netflix,2017-11-22,2017-11-22,Ended,FALSE,0
Archive 81,1,442,7.219,20.088,Netflix,2022-01-14,2022-01-14,Canceled,FALSE,0
Into the Night,2,439,7.274,17.453,Netflix,2020-05-01,2021-09-08,Ended,FALSE,495
The Following,3,438,6.821,28.946,FOX,2013-01-21,2015-05-15,Canceled,FALSE,844
Don't F**k with Cats: Hunting an Internet Killer,1,435,7.649,8.126,Netflix,2019-12-18,2019-12-18,Ended,FALSE,0
Resident Evil,1,434,5.797,23.084,Netflix,2022-07-14,2022-07-14,Canceled,FALSE,0
Cable Girls,5,433,7.835,29.636,Netflix,2017-04-28,2020-07-03,Ended,FALSE,1162
Marianne,1,430,7.574,17.692,Netflix,2019-09-13,2019-09-13,Canceled,FALSE,0
Dead to Me,3,429,7.33,25.695,Netflix,2019-05-03,2022-11-17,Ended,FALSE,1294
The Night Agent,1,429,7.909,55.48,Netflix,2023-03-23,2023-03-23,Returning Series,TRUE,0
Recess,6,427,7.714,70.15,ABC,1997-09-13,2001-11-04,Ended,FALSE,1513
Blood of Zeus,1,427,7.864,17.59,Netflix,2020-10-27,2020-10-27,Returning Series,TRUE,0
Marco Polo,2,424,7.297,17.168,Netflix,2014-12-12,2016-07-01,Canceled,FALSE,567
Master of None,3,423,7.559,15.68,Netflix,2015-11-06,2021-05-23,Ended,FALSE,2025
Behind Her Eyes,1,423,7.418,17.668,Netflix,2021-02-17,2021-02-17,Ended,FALSE,0
The Wilds,2,421,7.854,17.409,Prime Video,2020-12-11,2022-05-05,Canceled,FALSE,510
El Presidente,2,419,7.2,14.415,Prime Video,2020-06-05,2022-11-04,Returning Series,TRUE,882
FlashForward,1,416,7.069,114.199,ABC,2009-09-24,2010-05-27,Canceled,FALSE,245
Wonder Woman,3,415,7,31.201,CBS,1975-11-07,1979-09-11,Ended,FALSE,1404
All American,5,414,8.245,140.694,The CW,2018-10-10,2023-05-15,Returning Series,TRUE,1678
Making a Murderer,2,414,7.832,7.788,Netflix,2015-12-18,2018-10-19,Ended,FALSE,1036
Baki Hanma,2,414,8.2,183.12,Netflix,2021-09-30,2023-08-24,Returning Series,TRUE,693
The Incredible Hulk,5,412,7.2,100.451,CBS,1977-11-04,1982-05-12,Ended,FALSE,1650
Jericho,2,412,7.4,23.981,CBS,2006-09-20,2008-03-25,Canceled,FALSE,552
Future Man,3,412,7.159,20.717,Hulu,2017-11-14,2020-04-03,Ended,FALSE,871
3%,4,412,7.226,19.374,Netflix,2016-11-25,2020-08-14,Ended,FALSE,1358
Solar Opposites,4,411,7.9,29.732,Hulu,2020-05-08,2023-08-14,Returning Series,TRUE,1193
Summertime,3,408,6.9,16.006,Netflix,2020-04-29,2022-05-04,Ended,FALSE,735
Halt and Catch Fire,4,403,8.014,19.766,AMC,2014-06-01,2017-10-14,Ended,FALSE,1231
Welcome to Earth,1,401,7.638,9.873,Disney+,2021-12-08,2021-12-08,Ended,FALSE,0
Salem's Lot,1,400,6.87,14.091,CBS,1979-11-17,1979-11-24,Ended,FALSE,7
The Mask: Animated Series,3,400,7,85.672,CBS,1995-08-12,1997-08-30,Ended,FALSE,749
"Roswell, New Mexico",4,398,7.943,26.155,The CW,2019-01-15,2022-09-05,Canceled,FALSE,1329
The Protector,4,395,7.285,23.735,Netflix,2018-12-14,2020-07-09,Ended,FALSE,573
My Wife and Kids,5,393,7.438,105.525,ABC,2001-03-28,2005-05-17,Ended,FALSE,1511
Woman,3,391,7.57,19.466,FOX,2017-10-24,2020-06-29,Ended,FALSE,979
The Trials of Gabriel Fernandez,1,389,7.44,9.146,Netflix,2020-02-26,2020-02-26,Ended,FALSE,0
"Dr. Quinn, Medicine Woman",6,388,7.589,164.596,CBS,1993-01-01,1998-05-16,Ended,FALSE,1961
Raising Dion,2,388,7.696,19.093,Netflix,2019-10-04,2022-02-01,Canceled,FALSE,851
The Jetsons,3,388,7.3,38.798,ABC,1962-09-23,1987-11-12,Ended,FALSE,9181
Dollhouse,2,387,7.239,19.457,FOX,2009-02-13,2010-01-29,Canceled,FALSE,350
Beauty and the Beast,4,387,7.463,74.356,The CW,2012-10-11,2016-09-15,Ended,FALSE,1435
Sliders,5,386,7.61,31.069,FOX,1995-03-22,2000-02-04,Ended,FALSE,1780
NCIS: New Orleans,7,385,7.396,576.628,CBS,2014-09-23,2021-08-20,Ended,FALSE,2523
Prodigal Son,2,383,8.242,22.669,FOX,2019-09-23,2021-05-18,Canceled,FALSE,603
Airwolf,4,382,7.47,46.232,CBS,1984-01-22,1987-08-07,Ended,FALSE,1293
Dark Angel,2,382,7.471,26.366,FOX,2000-10-03,2002-05-03,Canceled,FALSE,577
Too Hot to Handle,5,381,6.727,20.567,Netflix,2020-04-17,2023-07-28,Returning Series,TRUE,1197
The Jinx: The Life and Deaths of Robert Durst,1,381,8.047,9.919,HBO,2015-02-08,2015-03-15,Ended,FALSE,35
The Way of the Househusband,2,381,8.482,17.061,Netflix,2021-04-08,2023-01-01,Returning Series,TRUE,633
Daybreak,1,380,7.082,17.326,Netflix,2019-10-24,2019-10-24,Canceled,FALSE,0
The Munsters,2,379,7.938,32.457,CBS,1964-09-24,1966-05-12,Ended,FALSE,595
Formula 1: Drive to Survive,5,378,8.324,19.018,Netflix,2019-03-08,2023-02-24,Returning Series,TRUE,1449
Pacific Rim: The Black,2,378,8.258,22.613,Netflix,2021-03-04,2022-04-19,Ended,FALSE,411
Lois & Clark: The New Adventures of Superman,4,378,7.013,171.088,ABC,1993-09-12,1997-06-14,Canceled,FALSE,1371
Hell on Wheels,5,375,7.675,40.455,AMC,2011-11-06,2016-07-23,Ended,FALSE,1721
Tiger King,2,374,6.941,9.909,Netflix,2020-03-20,2021-11-17,Ended,FALSE,607
Lore,2,372,7,10.376,Prime Video,2017-10-13,2018-10-18,Canceled,FALSE,370
Alex Rider,2,370,7.77,20.199,Prime Video,2020-06-04,2021-12-03,Returning Series,TRUE,547
DOTA: Dragon's Blood,3,368,7.904,28.842,Netflix,2021-03-25,2022-08-11,Returning Series,TRUE,504
Gargoyles,3,368,8.1,47.598,ABC,1994-10-24,1997-02-15,Ended,FALSE,845
The Cleveland Show,4,367,5.856,237.059,FOX,2009-09-27,2013-05-19,Ended,FALSE,1330
Nine Perfect Strangers,2,366,7.191,20.563,Hulu,2021-08-18,2021-09-22,Returning Series,TRUE,35
The Stranger,1,365,7.299,19.569,Netflix,2020-01-30,2020-01-30,Ended,FALSE,0
Súbete a mi moto,1,364,7.6,6.679,Prime Video,2020-10-09,2020-10-09,Ended,FALSE,0
Nikita,4,359,7.32,29.724,The CW,2010-09-09,2013-12-27,Ended,FALSE,1205
The Six Million Dollar Man,5,358,7.3,121.465,ABC,1974-01-18,1978-03-06,Ended,FALSE,1508
Step by Step,7,354,7.768,183.3,ABC,1991-09-20,1998-06-26,Ended,FALSE,2471
Carnivàle,2,353,7.969,13.241,HBO,2003-09-14,2005-03-27,Canceled,FALSE,560
Generation Kill,1,353,7.948,13.933,HBO,2008-07-13,2008-08-24,Ended,FALSE,42
Veep,7,352,7.4,26.946,HBO,2012-04-22,2019-05-12,Ended,FALSE,2576
Salvation,2,350,6.5,29.41,CBS,2017-07-12,2018-09-17,Canceled,FALSE,432
Rose Red,1,349,6.8,26.782,ABC,2002-01-27,2002-01-31,Ended,FALSE,4
Magnificent Century: Kösem,2,349,7.7,62.784,FOX,2015-11-12,2017-06-27,Ended,FALSE,593
Survivor,45,347,7.4,92.385,CBS,2000-05-31,2023-09-27,Returning Series,TRUE,8519
NOS4A2,2,345,7.383,13.754,AMC,2019-06-02,2020-08-23,Canceled,FALSE,448
Get Smart,5,344,7.881,54.019,CBS,1965-09-18,1970-05-15,Ended,FALSE,1700
The Search,1,341,7.194,7.07,Netflix,2020-06-12,2020-06-12,Ended,FALSE,0
The Healing Powers of Dude,1,340,7.156,10.541,Netflix,2020-01-13,2020-01-13,Ended,FALSE,0
Tribes of Europa,1,337,7.047,15.625,Netflix,2021-02-19,2021-02-19,Canceled,FALSE,0
Wizards: Tales of Arcadia,1,337,8.2,18.837,Netflix,2020-08-07,2020-08-07,Ended,FALSE,0
The Woman in the House Across the Street from the Girl in the Window,1,336,6.747,18.355,Netflix,2022-01-28,2022-01-28,Ended,FALSE,0
The Legend of Vox Machina,2,336,8.272,74.996,Prime Video,2022-01-27,2023-02-09,Returning Series,TRUE,378
Cold Case,7,335,7.845,93.075,CBS,2003-09-28,2010-05-02,Canceled,FALSE,2408
BEEF,1,334,7.8,25.141,Netflix,2023-04-06,2023-04-06,Ended,FALSE,0
Pushing Daisies,2,334,7.864,12.986,ABC,2007-10-03,2009-06-13,Ended,FALSE,619
Numb3rs,6,333,7.069,112.514,CBS,2005-01-23,2010-03-12,Canceled,FALSE,1874
Bull,6,331,7.076,49.859,CBS,2016-09-20,2022-05-26,Ended,FALSE,2074
The Dark Crystal: Age of Resistance,1,331,7.745,20.362,Netflix,2019-08-30,2019-08-30,Canceled,FALSE,0
Vampires,1,331,7.459,10.893,Netflix,2020-03-20,2020-03-20,Ended,FALSE,0
Popeye the Sailor,2,330,7.142,397.747,ABC,1960-06-10,1963-05-05,Ended,FALSE,1059
Walker,3,329,7.1,34.036,The CW,2021-01-21,2023-05-11,Returning Series,TRUE,840
Invisible City,2,329,7.125,14.127,Netflix,2021-02-05,2023-03-22,Returning Series,TRUE,775
Tales from the Loop,1,328,7,13.265,Prime Video,2020-04-03,2020-04-03,Ended,FALSE,0
Better Than Us,1,327,7.4,73.445,Netflix,2018-11-23,2019-03-01,Ended,FALSE,98
The Addams Family,2,326,7.959,108.007,ABC,1964-09-18,1966-04-08,Ended,FALSE,567
Garfield and Friends,7,324,7.228,364.526,CBS,1988-09-17,1994-12-10,Ended,FALSE,2275
We Are Who We Are,1,322,8,17.975,HBO,2020-09-14,2020-11-02,Ended,FALSE,49
Goliath,4,322,7.578,43.79,Prime Video,2016-10-13,2021-09-23,Ended,FALSE,1806
FBI: Most Wanted,5,321,7.692,267.466,CBS,2020-01-07,2023-05-23,Returning Series,TRUE,1232
No Ordinary Family,1,321,7.072,55.923,ABC,2010-09-28,2011-04-05,Canceled,FALSE,189
Girls,6,320,6.219,42.456,HBO,2012-04-15,2017-04-16,Ended,FALSE,1827
"Murder, She Wrote",12,319,7.583,184.033,CBS,1984-09-30,1996-05-19,Ended,FALSE,4249
Another Life,2,319,6.207,18.334,Netflix,2019-07-25,2021-10-14,Canceled,FALSE,812
"Magnum, P.I.",8,316,7.307,303.3,CBS,1980-12-11,1988-05-01,Ended,FALSE,2698
F is for Family,5,315,7.344,21.504,Netflix,2015-12-18,2021-11-25,Ended,FALSE,2169
Extras,2,315,7.8,21.771,HBO,2005-07-21,2006-10-19,Ended,FALSE,455
Masters of the Universe: Revelation,1,315,6.5,22.036,Netflix,2021-07-23,2021-11-23,Ended,FALSE,123
The Passage,1,314,7.008,14.267,FOX,2019-01-14,2019-03-11,Canceled,FALSE,56
GLOW,3,314,7.269,26.842,Netflix,2017-06-23,2019-08-09,Canceled,FALSE,777
Jeffrey Epstein: Filthy Rich,1,313,7.155,9.482,Netflix,2020-05-27,2020-05-27,Ended,FALSE,0
Biohackers,2,311,7.346,13.058,Netflix,2020-08-20,2021-07-09,Canceled,FALSE,323
How to Survive Being Single,3,310,7.1,8.379,Prime Video,2020-06-26,2023-03-22,Returning Series,TRUE,999
Big Shot,2,309,8,16.945,Disney+,2021-04-16,2022-10-12,Canceled,FALSE,544
Willow,1,307,6.9,34.956,Disney+,2022-11-30,2023-01-11,Canceled,FALSE,42
A Teacher,1,306,7.355,19.838,Hulu,2020-11-10,2020-12-29,Ended,FALSE,49
The Big Show Show,1,305,7.5,8.065,Netflix,2020-04-06,2020-04-06,Canceled,FALSE,0
Top Cat,1,304,7.48,60.869,ABC,1961-09-27,1962-04-18,Ended,FALSE,203
Messiah,1,304,7.273,13.553,Netflix,2020-01-01,2020-01-01,Canceled,FALSE,0
Police Squad!,1,304,7.8,15.067,ABC,1982-03-04,1982-07-08,Ended,FALSE,126
The Beatles: Get Back,1,302,8.5,13.37,Disney+,2021-11-25,2021-11-27,Ended,FALSE,2
Japan Sinks: 2020,1,302,7.21,10.587,Netflix,2020-07-09,2020-07-09,Ended,FALSE,0
Ahsoka,1,301,8.048,954.747,Disney+,2023-08-22,2023-09-26,Returning Series,TRUE,35
Elite Short Stories: Carla Samuel,1,301,7.463,14.384,Netflix,2021-06-17,2021-06-17,Ended,FALSE,0
Crime Scene: The Vanishing at the Cecil Hotel,1,300,7.082,10.363,Netflix,2021-02-10,2021-02-10,Ended,FALSE,0
Teenage Bounty Hunters,1,300,7.815,14.493,Netflix,2020-08-14,2020-08-14,Canceled,FALSE,0
The Innocent,1,298,7.71,14.092,Netflix,2021-04-30,2021-04-30,Ended,FALSE,0
Moonlighting,5,298,7.5,31.212,ABC,1985-03-03,1989-05-14,Ended,FALSE,1533
Elite Short Stories: Guzmán Caye Rebe,1,297,8,7.515,Netflix,2021-06-14,2021-06-14,Ended,FALSE,0
Roseanne,10,297,6.918,5.276,ABC,1988-10-18,2018-05-22,Canceled,FALSE,10808
Tear Along the Dotted Line,1,296,8.4,12.413,Netflix,2021-11-17,2021-11-17,Ended,FALSE,0
Avenue 5,2,295,6.546,20.704,HBO,2020-01-19,2022-11-28,Canceled,FALSE,1044
Flight of the Conchords,2,294,7.862,73.671,HBO,2007-06-17,2009-03-22,Ended,FALSE,644
The Secret Circle,1,293,7.331,56.291,The CW,2011-09-15,2012-05-10,Canceled,FALSE,238
Blood & Water,3,293,7.906,7.839,Netflix,2020-05-20,2022-11-25,Returning Series,TRUE,919
The Deuce,3,293,7.7,23.177,HBO,2017-09-10,2019-10-28,Ended,FALSE,778
The Bugs Bunny Show,3,293,8.024,86.607,ABC,1960-10-11,1972-03-04,Ended,FALSE,4162
I Am Georgina,2,293,7.111,11.56,Netflix,2022-01-27,2023-03-24,Returning Series,TRUE,421
The Tomorrow People,1,293,7.009,82.981,The CW,2013-10-09,2014-05-05,Canceled,FALSE,208
Queen Charlotte: A Bridgerton Story,1,293,8.177,36.697,Netflix,2023-05-04,2023-05-04,Ended,FALSE,0
The Goldbergs,10,292,7.7,64.057,ABC,2013-09-24,2023-05-03,Ended,FALSE,3508
Bloodline,3,291,7.277,19.684,Netflix,2015-03-20,2017-05-26,Ended,FALSE,798
Katla,1,290,7.031,19.593,Netflix,2021-06-17,2021-06-17,Ended,FALSE,0
Conversations with a Killer: The Ted Bundy Tapes,1,289,7.526,9.543,Netflix,2019-01-24,2019-01-24,Ended,FALSE,0
According to Jim,8,289,6.6,241.178,ABC,2001-10-03,2009-06-02,Canceled,FALSE,2799
Paradise PD,4,289,7.379,21.552,Netflix,2018-08-31,2022-12-16,Ended,FALSE,1568
Private Practice,6,288,7.686,66.55,ABC,2007-09-26,2013-01-22,Ended,FALSE,1945
Down to Earth with Zac Efron,2,288,7.707,8.623,Netflix,2020-07-10,2022-11-11,Returning Series,TRUE,854
The Dukes of Hazzard,7,288,7.4,184.027,CBS,1979-01-26,1985-02-08,Ended,FALSE,2205
Haunted,3,288,7,12.19,Netflix,2018-10-19,2021-05-14,Ended,FALSE,938
The Irregulars,1,288,7.396,10.486,Netflix,2021-03-26,2021-03-26,Canceled,FALSE,0
Gilmore Girls: A Year in the Life,1,286,7.332,13.533,Netflix,2016-11-25,2016-11-25,Ended,FALSE,0
Star Wars: Visions,2,286,7.259,25.066,Disney+,2021-09-22,2023-05-04,Returning Series,TRUE,589
